category,title,brand,model,ram_gb,storage_gb,algeria_min_eur,turkiye_avg_eur,gross_margin_eur,projected_our_income_eur,projected_our_income_dzd,buyer_offer_price_eur,buyer_offer_price_dzd,buyer_gain_eur,buyer_gain_percent,deal_quality,recommendation,confidence,algeria_url,turkiye_url
console,ASUS ROG Ally 16GB RAM 512GB AMD Z1 Extreme,ASUS,ROG Ally,16,512,307.6,466.65,159.05,39.76,10987.57,347.36,95985.99,119.29,34.34,strong,strong_buy,0.95,https://www.ouedkniss.com/consoles-asus-rog-ally-rc71l-amd-z1-extreme-16go-ram-512go-ssd-mostaganem-algeria-d56443156,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-oyunculara-ozel-oyun-konsolu-asus-rog-ally-z1-extreme-512gb-1317802559/detay
phone,Apple iPhone 14 256GB,Apple,iPhone 14,,256,209.39,363.93,154.54,38.64,10676.01,248.03,68538.13,115.91,46.73,strong,watch,63,https://www.instagram.com/p/DaQOQCMMFJQ/,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-iphone-14pm-sok-fiyat-1325963466/detay
console,ASUS ROG Ally 512GB AMD Z1 Extreme,ASUS,ROG Ally,,512,340.17,493.48,153.31,38.33,10591.04,378.5,104590.91,114.98,30.38,strong,strong_buy,0.95,https://www.ouedkniss.com/consoles-asus-rog-ally-rc71l-amd-z1-extreme-16go-ram-512go-ssd-mostaganem-algeria-d56443156,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-oyunculara-ozel-oyun-konsolu-asus-rog-ally-z1-extreme-512gb-1317802559/detay
phone,Samsung Galaxy S26 Ultra 256GB,Samsung,Galaxy S26 Ultra,,256,750.9,890.33,139.43,34.86,9632.17,785.76,217129.06,104.57,13.31,weak,watch,90,https://www.ouedkniss.com/smartphones-samsung-galaxy-s26-ultra-5g-256gb-512gb-kouba-alger-algeria-d56264182,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-samsung-gozdesi-s26-ultra-256-gb-takasli-satis-1324638403/detay
phone,Apple iPhone 16 Pro Max 256GB,Apple,iPhone 16 Pro Max,,256,610.11,738.87,128.76,32.19,8895.06,642.3,177486.76,96.57,15.04,medium,watch,95,https://www.instagram.com/deghoul_haroun_telecom/reel/DaYigZPoF3S/,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-iphone-16-pro-max-256gb-yurtdisi-1325298410/detay
console,Microsoft Xbox Ally X 1024GB,Microsoft,Xbox Ally X,,1024,694.82,820.1,125.28,31.32,8654.66,726.14,200654.27,93.96,12.94,weak,good_opportunity,0.9,https://www.ouedkniss.com/consoles-asus-rog-xbox-ally-x-2025-ryzen-z2-extreme-24gb-ram-1tb-ssd-blida-algeria-d56476235,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-oyunculara-ozel-oyun-konsolu-asus-rog-xbox-ally-x-24gb-1tb-ssd-avrupadan-sifir-1316157365/detay
laptop,Dell Latitude 16GB RAM 256GB Intel Core i5,Dell,Latitude,16,256,389.89,513.23,123.34,30.84,8520.64,420.73,116260.32,92.51,21.99,medium,strong_buy,0.8,https://www.ouedkniss.com/store/12527/eternel-store/annonce/51496396,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-bilgisayar-dizustu-notebook-dell-latitude-3540-i5-1335u-16gb-ram-256gb-ssd-temiz-1326095165/detay
laptop,Apple MacBook Pro 8GB RAM 256GB Intel Core i5 Apple Integrated,Apple,MacBook Pro,8,256,122.74,240.75,118.01,29.5,8152.43,152.24,42068.48,88.51,58.14,strong,strong_buy,0.95,https://www.ouedkniss.com/laptop-macbook-pro-retina-2013-13-pouces-intel-core-i5-at-260ghz-8gb-ram-256gb-ssd-cycles-107-mostaganem-algeria-d47295099,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-bilgisayar-dizustu-notebook-macbook-pro-2017-13inc-8-256-kutulu-kusursuz-cihaz-1326963552/detay
phone,Apple iPhone 13 Pro 128GB,Apple,iPhone 13 Pro,,128,249.1,367.03,117.93,29.48,8146.9,278.58,76980.01,88.45,31.75,strong,watch,74,/media/instagram/deghoul_haroun_telecom/manual_folder_images/imgi_18_702009360_1676431733606068_6173082116782847789_n.jpg,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-cadde-apple-dan-iphone-13-pro-128-gb-ekime-kadar-acik-1326418372/detay
phone,Apple iPhone 14 Pro Max 128GB,Apple,iPhone 14 Pro Max,,128,393.5,510.41,116.91,29.23,8076.44,422.73,116812.98,87.68,20.74,medium,watch,89,https://www.instagram.com/deghoul_haroun_telecom/reel/DYChfUJo3Hr/,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-iphone-14-promax-128-gb-pil-86-10-aya-kadar-kullanilabilir-1325140550/detay
phone,Apple iPhone 12 Pro Max 128GB,Apple,iPhone 12 Pro Max,,128,270.76,382.57,111.81,27.95,7724.11,298.71,82542.53,83.86,28.07,medium,watch,56,https://www.instagram.com/deghoul_haroun_telecom/reel/DYAWp86IDGV/,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-iphone-12-pro-max-128gb-pil-74-tertemiz-2ay-1326232523/detay
phone,Apple iPhone 15 Pro Max 256GB,Apple,iPhone 15 Pro Max,,256,537.91,647.07,109.16,27.29,7541.05,565.2,156181.72,81.87,14.49,weak,watch,100,https://www.instagram.com/deghoul_haroun_telecom/reel/DYCZeZEIn9O/,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-iphone-15-pro-max-256-gb-natural-titanium-renk-1326422248/detay
phone,Apple iPhone 13 Pro Max 128GB,Apple,iPhone 13 Pro Max,,128,292.42,396.59,104.17,26.04,7196.32,318.46,88000.05,78.13,24.53,medium,watch,74,https://www.instagram.com/p/DaQN-SCMCND/,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-ikizler-gsm-iphone-13-pro-max-128gb-pil84-yd-1326063539/detay
phone,Apple iPhone 14 Pro 128GB,Apple,iPhone 14 Pro,,128,357.4,440.44,83.04,16.61,4589.29,374.01,103350.18,66.43,17.76,medium,watch,45,https://www.instagram.com/deghoul_haroun_telecom/reel/DYH79Zdobm7/,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-iphone-14-pro-128-gb-pil-99-deyisen-1325595343/detay
phone,Apple iPhone 12 64GB,Apple,iPhone 12,,64,166.06,247.28,81.22,16.24,4488.7,182.3,50374.96,64.98,35.64,strong,watch,36,https://www.instagram.com/deghoul_haroun_telecom/reel/DX2Ow04oud9/,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-iphone-12-y.d-64gb-1326408547/detay
phone,Apple iPhone 16 128GB,Apple,iPhone 16,,128,454.87,533.96,79.09,15.82,4370.99,470.69,130065.77,63.27,13.44,weak,watch,47,/media/instagram/deghoul_haroun_telecom/manual_folder_images/imgi_38_695819712_1409987231126243_2067827169276555029_n.jpg,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-iphone-16-128-gb-pil-89-9.aya-kadar-kullanilabilir-1325507569/detay
phone,Xiaomi Redmi Note 15 256GB,Xiaomi,Redmi Note 15,,256,149.82,228.62,78.8,15.76,4354.96,165.58,45754.72,63.04,38.07,strong,watch,61,https://www.ouedkniss.com/smartphones-xiaomi-redmi-note-15-8-go-ram-256-stockage-dual-sim-kouba-alger-algeria-d56127031,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-redmi-note-15-8-plus8-256-gb-global-nfc-li-1325538702/detay
phone,Samsung Galaxy S26 Ultra 512GB,Samsung,Galaxy S26 Ultra,,512,935.02,1012.79,77.77,15.55,4298.04,950.57,262671.01,62.22,6.55,weak,ignore,80,https://www.ouedkniss.com/smartphones-samsung-galaxy-s26-ultra-cheraga-alger-algeria-d55386565,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-yildizlardan-samsung-s26-ultra-kapali-kutu-1325304811/detay
phone,Xiaomi POCO X8 512GB,Xiaomi,POCO X8,,512,320.94,391.01,70.07,14.01,3872.49,334.95,92556.73,56.06,16.74,medium,watch,75,https://www.ouedkniss.com/smartphones-poco-x8-pro-5g-512gb-12gb-bab-el-oued-alger-algeria-d55769869,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-xiaomi-poco-x8-pro-512-12-plus12-pubg-canavari-100w-sarj-ful-kutu-1326365241/detay
phone,Samsung Galaxy S24 Ultra 256GB,Samsung,Galaxy S24 Ultra,,256,440.43,509.4,68.97,13.79,3811.7,454.22,125514.61,55.18,12.15,weak,watch,75,https://www.ouedkniss.com/store/6442/abdou-cabba-store/annonce/55228288,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-magazadan-s24-ultra-cift-sim-256-gb-kutulu-fiyay-son-1323696860/detay
phone,Apple iPhone 14 128GB,Apple,iPhone 14,,128,299.64,367.65,68.01,13.6,3758.64,313.24,86557.61,54.41,17.37,medium,watch,55,https://www.instagram.com/p/DaVbaVbsQbl/,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-magazadan-iph-14-128-gb-pil-86-sorunsuz-fiyat-son-kurye-1320222857/detay
phone,Apple iPhone 13 128GB,Apple,iPhone 13,,128,238.27,305.6,67.33,13.47,3721.06,251.74,69563.31,53.86,21.4,medium,watch,73,https://www.instagram.com/deghoul_haroun_telecom/reel/DYCd6nmIusZ/,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-iphone-13-y.d-128gb-1326406156/detay
phone,Apple iPhone 15 128GB,Apple,iPhone 15,,128,357.4,423.21,65.81,13.16,3637.06,370.56,102396.84,52.65,14.21,weak,watch,63,/media/instagram/deghoul_haroun_telecom/manual_folder_images/imgi_23_701599044_1354349646544216_7955543576868713622_n.jpg,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-garantili-iphone-15-1325801073/detay
phone,Samsung Galaxy Note 20 256GB,Samsung,Galaxy Note 20,,256,176.9,242.62,65.72,13.14,3632.08,190.04,52513.75,52.58,27.67,medium,watch,33,https://www.ouedkniss.com/smartphones-samsung-galaxy-note20-5g-256gb-bab-el-oued-alger-algeria-d46621421,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-note-20-ultra-5g-12-ram-256gb-hafiza-1326221579/detay
phone,Apple iPhone 12 Pro 128GB,Apple,iPhone 12 Pro,,128,169.68,233.28,63.6,12.72,3514.92,182.4,50402.59,50.88,27.89,medium,watch,52,https://www.instagram.com/deghoul_haroun_telecom/reel/DX1_0bKIO3l/,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-magazadan-12-pro-128-gb-pil-77-hat-takilmadi-fiyat-son-1320219541/detay
phone,Xiaomi Redmi Note 14 Pro 256GB,Xiaomi,Redmi Note 14 Pro,,256,205.42,264.65,59.23,11.85,3273.41,217.27,60038.22,47.38,21.81,medium,watch,79,https://www.ouedkniss.com/store/12366/moutcha-phone/annonce/54854438,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-redmi-note-14-pro-15-ay-acik-8-256-1325718818/detay
console,Microsoft Xbox Ally 16GB RAM 512GB,Microsoft,Xbox Ally,16,512,463.21,522.4,59.19,11.84,3271.19,475.05,131270.57,47.35,9.97,weak,marginal,0.8,https://www.ouedkniss.com/other-asus-rog-xbox-ally-amd-ryzen-z2a-16gb-512gb-nvme-7-fhd-120hz-birkhadem-alger-algeria-d35340259,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-oyunculara-ozel-oyun-konsolu-asus-rog-xbox-ally-8-gb-cekirdekli-512-gb-hafiza-2025-rc73ya-z2-1327076761/detay
phone,Honor Magic 8 Pro 512GB,Honor,Magic 8 Pro,,512,794.22,845.58,51.36,10.27,2838.46,804.49,222304.72,41.09,5.11,weak,ignore,38,https://www.ouedkniss.com/store/6442/abdou-cabba-store/annonce/55424767,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-honor-magic-8-pro-512-gb-ciziksiz-orj-kutulu-1319012295/detay
phone,Xiaomi POCO F7 512GB,Xiaomi,POCO F7,,512,306.86,354.58,47.72,0.0,0.0,306.86,84794.62,47.72,15.55,weak,ignore,33,https://www.ouedkniss.com/smartphones-poco-f7-512gb12gb-256gb12gb-bab-el-oued-alger-algeria-d50006348,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-xiaomi-poco-f7-pro-12-plus12-512-gb-pil-96-sifirdan-farksiz-orj-sarj-1325198039/detay
phone,Xiaomi Redmi Note 15 Pro 256GB,Xiaomi,Redmi Note 15 Pro,,256,215.88,256.72,40.84,0.0,0.0,215.88,59654.12,40.84,18.92,weak,ignore,78,https://www.ouedkniss.com/smartphones-xiaomi-redmi-note-15-pro-256gb8gb-global-bab-el-oued-alger-algeria-d53667770,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-redmi-note-15-pro-256-8-plus8-sifir-full-mazemeli-global-67w-1326187944/detay
phone,Xiaomi Redmi 15 256GB,Xiaomi,Redmi 15,,256,113.72,149.1,35.38,0.0,0.0,113.72,31424.25,35.38,31.11,weak,ignore,53,https://www.ouedkniss.com/smartphones-xiaomi-redmi-15c-256gb8ram-bouzareah-alger-algeria-d51228031,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-xiaomi-redmi-15c-256gb-full-kutu-1-1325772945/detay
laptop,Apple MacBook Pro 16GB RAM 512GB Intel Core i7 Apple Integrated,Apple,MacBook Pro,16,512,303.25,338.26,35.01,0.0,0.0,303.25,83797.07,35.01,11.54,weak,marginal,1.0,https://www.ouedkniss.com/laptop-macbook-pro-156-core-i7-16gb-ram-amd-radeon-455-2gb-512gb-ssd-gamme-workstation-mostaganem-algeria-d54011555,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-bilgisayar-dizustu-notebook-apple-macbook-pro-4k-2016-sonu-16-ram-512-ssd-i7-15-4-inc-1326674726/detay
laptop,Apple MacBook Air 8GB RAM 128GB Intel Core i5 Apple Integrated,Apple,MacBook Air,8,128,162.45,183.52,21.07,0.0,0.0,162.45,44889.81,21.07,12.97,weak,marginal,0.95,https://www.ouedkniss.com/laptop-macbook-air-2015-i5-8gb-128-ssd-133-bab-ezzouar-alger-algeria-d47400505,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-bilgisayar-dizustu-notebook-apple-macbook-air-laptop-8-gb-128-gb-bellek-1326724992/detay
phone,Samsung Galaxy S24 128GB,Samsung,Galaxy S24,,128,306.86,317.26,10.4,0.0,0.0,306.86,84794.62,10.4,3.39,weak,ignore,26,https://www.ouedkniss.com/smartphones-samsung-galaxy-s24-128256512-gb-2-sim-el-biar-alger-algeria-d48239470,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-samsung-galaxy-s24-hatasiz-128gb-1325918164/detay
phone,Apple iPhone 13 Pro Max 256GB,Apple,iPhone 13 Pro Max,,256,393.5,403.5,10.0,0.0,0.0,393.5,108735.86,10.0,2.54,weak,ignore,26,https://www.instagram.com/deghoul_haroun_telecom/reel/DX4Vks3IEKF/,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-nokta-hatasiz-iphone-13-pro-max-256-gb-ada-telekomda-1326013993/detay
phone,Apple iPhone 17 Pro Max 256GB,Apple,iPhone 17 Pro Max,,256,1151.62,1160.55,8.93,0.0,0.0,1151.62,318227.15,8.93,0.78,weak,ignore,80,https://www.instagram.com/deghoul_haroun_telecom/reel/DYHr7BoInoG/,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-17-pro-max-256gb-90gun-merkez-iletisim-1326402207/detay
phone,Apple iPhone 16 Pro 128GB,Apple,iPhone 16 Pro,,128,631.77,638.62,6.85,0.0,0.0,631.77,174577.0,6.85,1.08,weak,ignore,65,https://www.instagram.com/p/DaVdj_ZMEJD/,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-iphone-16-pro-ekran-degisen-128gb-pil91-1325572930/detay
phone,Apple iPhone 15 Plus 128GB,Apple,iPhone 15 Plus,,128,451.26,457.24,5.98,0.0,0.0,451.26,124696.68,5.98,1.33,weak,ignore,43,https://www.instagram.com/p/DaQPEHZsWP_/,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-iphone-15-plus-yd-2027-etlule-kadar-acik-1325954569/detay
phone,Xiaomi Redmi 14 256GB,Xiaomi,Redmi 14,,256,81.23,83.96,2.73,0.0,0.0,81.23,22446.29,2.73,3.36,weak,ignore,33,https://www.ouedkniss.com/smartphones-redmi-14c-8256-el-eulma-setif-algeria-d54221762,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-cep-telefonu-aksesuar-cep-telefonu-xiaomi-redmi-14c-256-8-50mp-kmra-sifir-ayarinda-kayitli-kutulu-1325030763/detay
